Topic,Count,Name,Representation,Representative_Docs
30,1844,30_json_parse_gson_object,"['json', 'parse', 'gson', 'object', 'array', 'php', 'string', 'jsonobject', 'data', 'parsing']","['dynamic object creation json android app receives string json format json structure contains array json object different type create one class type want instantiate object directly json help json framework make simpler let think following example two java class eg json array coming dont know many order json object come able modify json representation one solution think far understood reading framework jackson comparison gson able read specific value generate java instance could add type information json object read value type generate right object think approach common solution problem', 'parse json array json object android trouble finding way parse jsonarray look like know parse json written differently word json object returned instead array object go edit valid json made iphone app using json need android figure lot example jsonobject related need something jsonarray somebody please give hint tutorial example much appreciated', 'parse json object array im currently trying parse json android application keep getting error saying value user current code using json thanks advance']"
31,1821,31_orientation_rotate_portrait_landscape,"['orientation', 'rotate', 'portrait', 'landscape', 'rotation', 'rotated', 'mode', 'camera', 'video', 'screen']","['get phone orientation locked one orientation could easily duplicate another question im struggling figure search camera app locked landscape mode manifest like however want still rotate ui element device rotated portrait although android still think landscape thats purpose ive tried check orientation unfortunately always return regardless turn phone robust way get orientation regardless android think orientation', 'opening app keeping device landscape mode portrait activity dialog showing landscape orientation per product requirement keep orientation app portrait mobile landscape tablet used following code set orientation activity callback invoking working scenario mobile keep device portrait orientation open application event show dialog result portrait activity dialog show properly portrait mode error scenario mobile keep device landscape orientation open application event show dialog result portrait activity dialog show landscapemode due part dialog visible verified activity orientation window orientation set portrait showing dialog mobile', 'getting orientation device camera preview activity forced stay landscape mode way tell current orientation phone screen orientation basically want know user holding phone portrait mode landscape mode rotate output captured bitmap correctly right always output landscape mode thanks']"
32,1808,32_date_calendar_time_format,"['date', 'calendar', 'time', 'format', 'event', 'timezone', 'day', 'month', 'convert', 'hour']","['converting calendar date string compare two date first date calendar format stringddmmmyyyy format want convert one calendar date string use compareto method tried using', 'android calendar event issue regarding calendar android want add event database basically want open calendar fragment call web service fetch data server includes date respective event click date calendar show event specified date issue faced show error line say two day run successfully issue generate point calendar day twice example server response point date date many time calendarjava', 'setting date content value android calendar following code used add event android calendar change date prefer specific format example say need add']"
33,1650,33_token_google_account_login,"['token', 'google', 'account', 'login', 'cookie', 'oauth', 'user', 'authentication', 'client', 'sign']","['authenticating oauth app website im developing website primarily accessed via app want use oauth user registration authentication since android app start using google oauth stuff since provides decent ui android google state choose use google authentication system way outsource user authentication application remove need create maintain secure username password store want however go example whatnot find stuff website app authenticate user google service indeed go register app client google oauth option website client installed client ie mobile app create two separate client read oauth draft think problem explain here envisage working user asks myapp access private data app us android class request access token google apis android say user app myapp want access basic information google ok user say yes connects google oauth server using credential stored phone asks access token access token follows green line returned return access token myapp myapp sends request mysite user private data including access token mysite need verify user using access token validates token described google google token valid want happen google say yes whoever gave indeed user think actually happen based oauth draft google documentation say way token valid myapp youre mysite gtfo please dont say use openid dont use oauth similarly unhelpful answer oh would really like keep using nice ui rather crappy popup edit provisional answer report back work nikolay actually work google server wont care access token came seems bit insecure see work update implemented pattern facebook instead google totally work oauth server doesnt care access token come least facebooks doesnt assume google doesnt either light bad idea store access token also dont want hit facebookgoogles server check authentication every request since slow everything probably best thing add additional authentication cookie site hand access token validated simpler way treat access token like password store hash dont need salt either since access token really really long step become something like mysite need verify user using access token first check cache hashed valid access token hash token found know user authenticated otherwise check google described google google token valid google say access token invalid tell user gtfo otherwise google say yes valid user check registered user database google username facebook id using facebook found create new user cache hashed value access token', 'shouldnt android accountmanager store oauth token perappuid basis android accountmanager appears fetch cached auth token apps different uids secure seem compatible oauth since access token supposed shared different client backgroundcontext building android app us oauth authenticationauthorization rest api request server oauth provider since app official app opposed rdparty app considered trusted oauth client using resource owner password flow obtaining oauth token user resource owner enters usernamepassword app sends client id client secret along user credential server oauth token endpoint exchange access token used make api call well longlived refresh token used get new access token expire rationale secure store refresh token device user password utilizing accountmanager managing account associated access token device since providing oauth provider created custom account type extending abstractaccountauthenticator required component explained android dev guide demonstrated samplesyncadapter sample project able successfully add account custom type within app manage account sync android setting screen issue however concerned way accountmanager cache issue auth token specifically auth token given account type token type seems accessible app user granted access obtain auth token accountmanager one must invoke accountmanagergetauthtoken passing among thing account instance obtain auth token desired auth token exists specified account authtokentype user grant access via grant access request screen app made auth token request case requesting apps uid match authenticator uid token returned case explanation lacking helpful blog entry explains clearly based post examining source accountmanager accountmanagerservice internal class heavy lifting accountmanager appears auth token stored per authtokentypeaccount combo seems feasible malicious app knew account type authtokentypes used authenticator could invoke accountmanagergetauthtoken obtain access apps stored oauth token assuming user grant access malicious app problem accountmanagers default caching implementation built paradigm layer oauth authenticationauthorization context would consider phonedevice single oauth client serviceresource provider whereas paradigm make sense appuid considered oauth client oauth provider issue access token issuing access token particular app sent correct client id client secret apps device instance user might official app call app client licensed thirdparty app us api call app client b installed official client oauth provider may issue super typescope token grant access public private piece api whereas thirdparty client b provider may issue restricted typescope token grant access public api call possible app client b obtain app client access token current accountmanageraccountmanagerservice implementation seems allow even user grant authorization client b client super token fact remains oauth provider intended grant token client overlooking something belief auth token issued perappuid basis app distinct client rationalpractical authtokensperdevice device client standardaccepted practice flaw understanding codesecurity restriction around vulnerability actually exist ive tested client aclient b scenario custom authenticator test client app b different package scope uid able obtain auth token server issued test client app passingin prompted access request grant screen approved since im user therefore clueless possible solution secret authtokentype order obtain auth token must known treated type client secret token issued given secret token type may obtained authorized client apps know secret token type seem secure rooted device would possible examine column table system database examine authtokentype value stored token thus secret auth token type used across installation app authorized thirdparty apps used device exposed one central location least oauth client idssecrets even must packaged app spread among different client apps attempt may made obfuscate better nothing help discourage would unpackagedecompile app b custom auth token according doc accountmanagerkey_caller_uid authenticatordescriptioncustomtokens source code referenced earlier able specify custom account type us custom token spin token cachingstorage implementation within custom authenticator wherein obtain uid calling app order storefetch auth token peruid basis basically would table like default implementation except would added column token uniquely indexed uid account auth token type opposed account auth token type seems like secure solution using secret authtokentypes since would involve using across installation appauthenticator whereas uids vary systemtosystem easily spoofed aside joyful overhead getting write manage token caching mechanism downside approach term security overkill really protecting anything missing something even implementation place would still easy enough one malicious app client obtain another app client auth token using guaranteed secret assuming said malicious app know oauth client secret therefore directly get fresh token could hope get one already cached behalf authorized app client c send client idsecret w oauth token could stick default token storage implementation accept possibility unauthorized access apps auth token could force api request always include oauth client id client secret addition access token verify serverside app authorized client token issued first place however would like avoid afaik oauth spec require client authentication protected resource request access token required b would like avoid additional overhead authenticating client request isnt possible general case server get series message protocol code generated message cant determined michael could said initial client authentication oauth flow client first issued access token difference instead authenticating token request request protected resource would also authenticated way note client app would able pas client id client secret parameter custom authenticator would pas resource provider per oauth protocol key question indeed possible one app obtain another apps authtoken account invoking accountmanagergetauthtoken authtokentype possible validpractical security concern within oauth context could never rely auth token given user remaining secret userso reasonable android ignore security obscurity goal design michael im concerned user resource owner getting auth token without consent im concerned unauthorized client apps user want attacker protected resource knock im saying possible user installs client app unwittingly imposter client app able gain access apps auth token simply passedin correct authtokentype user lazyunawarerushed examine access request screen analogy may bit oversimplified dont consider security obscurity installed facebook app read email cached gmail app different user rooting phone examining cache content user needed accept android system provided access request app use token given android solution seems ok apps cant silently use user authentication without asking michael also problem authorization auth token issued official client key set protected resource client client authorized suppose one could argue since user owner protected resource accepts access request third party client sactioned partner app phisher effectively authorizing thirdparty client made request access resource issue average user securityconscious enough able competently make decision dont believe depend solely user judgment tap deny android access request screen prevent even crude phishing attempt user presented access request authenticator could superdetailed enumerate type sensitive protected resource client able access user granting accept request case user still unaware going accept sophisticated phishing attempt imposter app going look official user even raise eyebrow access request screen here blunt example access request screen authenticator could simply say accept request seeing screen malicious app trying gain access account hopefully case user would deny request even get far android simply kept auth token isolated scope appuid issued would nonissue let simplify even case one official client app therefore resource provider even worry issuing token thirdparty client developer option saying accountmanager lockdown auth token app access go along custom token route even case would able prevent user first presented access request screen least betterdocumented default implementation accountmanagergetauthtoken return auth token requesting appsuids even android doc recognize oauth industry standard authentication presumably authorization oauth spec clearly state access token shared client divulged way default accountmanager implemenationconfiguration make easy client obtain cached auth token originally obtained service another client simple fix within accountmanager would reuse cached token appuid originally obtained service locally cached auth token available given uid obtained service least make configurable option developer oauth legged flow involves user granting access client isnt supposed serviceresource provider say o get authenticate client b client valid present user grant access request seems like android incorrectly usurping role flow user explicitly allow apps reuse previous authentication service convenient usermichael dont think roi convenience warrant security risk case user password stored user account really convenience bought user instead sending web request service get new distinct token actually authorized requesting client locally cached token authorized client returned user gain slight convenience seeing signing progress dialog couple second fewer risk user majorly inconvenienced resource stolenmisused keeping mind committed using oauth protocol securing api request b providing oauth resourceauthentication provider opposed authenticating say google facebook c utilizing android accountmanager manage custom account type token proposed solution valid make sense overlooking proscons worthwhile alternative thought use alternative client dont secret api attempt accessible official client people get around ensure public facing apis secure matter future client user using michael doesnt defeat one key purpose using oauth first place good authorization potential authorizees would authorized scope protected resource anyone else felt issue work around ive done extensive googling try find others felt security issueconcern seems postsquestions involving android accountmanager auth token authenticate google account custom account type oauth provider moreover could find anyone concerend possibility auth token used different apps make wonder whether indeed possibilityworthy concern first place see first key question listed appreciate inputguidance response michael answer think major difficulty answer still inclined think apps separate distinct client service opposed userphonedevice one big client therefore token authorized one app default transferable one seems like may hinting moot consider app distinct client possibility user could running rooted phone read token gaining access private api user system compromised attacker could read token case therefore grand scheme thing consider device client service since guarantee security apps device true system compromised guarantee authenticatingauthorizing request sent device service could said say tl transport security irrelevant endpoint secured vast majority android device compromised believe secure consider app client distinct endpoint instead lumping one sharing auth token presented access request screen akin software user license agreement always read thoroughly consenting installing dont trust user judgment distinguish maliciousunauthorized client app one', 'best way allow user access app using google credential android application requires user registration would like allow user login via google would handle would like keep google signin discussion also using user credential access google apis im interested additional access social feature google seems number option use oauth authentication documented google oauth login page doesnt really mention android partly based oauth access token importantly validation json web token id_token way authenticating user also involves launching webview allow user login google account rather complex verification id_token use oauth google play service there sample google play service focus authorization us googleauthutilgettoken retrieve access_token part definitely authentication dialog state sign correct assume bad practice use oauth flow access_token authentication mechanism storing access token authentication token supporting facebook twitter logins reason im asking way twitter facebook recommend implement sign authentication process implementing sign twitter facebook login flow android also seems based purely oauth access token option im aware allows authenticate user google account']"
34,1640,34_nfc_tag_barcode_zxing,"['nfc', 'tag', 'barcode', 'zxing', 'qr', 'scanner', 'scan', 'card', 'ocr', 'reader']","['nfc empty tag reading issue currently involved project need communicate using nfc im trying read nfc tag perfectly working uri text im trying read empty nfc tag showing default empty tag message defined code androidmanifestxml method would like show custom message like using activity suggestion', 'nfc tag nfc card thing nfc tag nfc card thing android documentation mention nfc tag reading simple tag say nfc card hce documentation assume', 'android kotlin read nfc tag inside activity found recent post reading nfc tag android conclusion got performing nfc read action trigger separated intent want achieve current activity reading ndef message nfc tag textplain format first question neccessary list intentfilter manifest think neccessary since want launch app via nfc tag event right second question keep nfc reading logicfunctions related appactivity go current activity initialize nfc adapter oncreate would next step read nfc tag ndef message found something related intent dispatch foreground would nice someone ideaexample kotlin read nfc tag activity without stuff like launchingbeaming nfc action io eg simple nfc session needed vc']"
35,1611,35_call_sim_number_incoming,"['call', 'sim', 'number', 'incoming', 'phone', 'sip', 'outgoing', 'dialer', 'twilio', 'dual']","['delete call call log call end new android development want make call number dont want store number call log delete number call log call end', 'detect target phone number incoming call android phone sim card want detect target incoming call sim sim possible get target number call info', 'get phone number using android call log get receiver phone number using android call log example receiving call incoming get phone number get phone number receiving call']"
36,1572,36_dialog_alertdialog_dialogfragment_alert,"['dialog', 'alertdialog', 'dialogfragment', 'alert', 'button', 'popupwindow', 'popup', 'dismiss', 'custom', 'show']","['make alert dialog fill screen size create display custom alert dialog fine even dialog xml big content want dialog fill entire screen except maybe padding pixel image part dialog would automatically stretch full dialog size fill_parent', 'show alert dialog top activity application android want display alert dialog alert dialog created one activity problem want display dialog top activity application get response server', 'change dialog button color way change default dialog button colour need custom dialog dialog']"
37,1516,37_widget_flutter_appwidget_update,"['widget', 'flutter', 'appwidget', 'update', 'home', 'onupdate', 'appwidgetprovider', 'screen', 'remoteviews', 'app']","['debug android widget using android studio create android widget using android studio problem debug widget try step run widget see widget put home screen open ddms see widget process press green debug button image anyone idea', 'hide obsolete widget class list available widget current version app app widget next version im replacing different widget none name class old widget dont want old widget available problem cant remove old widget manifest upgrading user widget deleted home screen im looking solution allow keep supporting old widget without showing widget menu idea', 'migrate old widget new one app wrorking three widget right widget different size fix layout file ive developed new widget resizable adaptive load fitting layoutfile according size next update app would like achieve following list new adaptive widget widget drawer old widget created already existing widget shall use logic new widget update view right think two goal contradict delete disable widget receiver manifest widget disappears widget drawer time existing widget homescreen break let existing widget provider use new logic old widget behave like new one widget drawer ive got four time widget way achieve goal possible hide old widget new user extings user updating app thanks lot answer']"
38,1476,38_file_storage_sd_external,"['file', 'storage', 'sd', 'external', 'folder', 'card', 'directory', 'sdcard', 'path', 'internal']","['get public storage path external storage sd card would like get path public storage android device two application one writing log file one used read reason cant use application private storage would like know method give path public space device easly create read file solution looking httpdeveloperandroidcomguidetopicsdatadatastoragehtmlfilesinternal neither get internal external sdcard path android easy solution problem external public storage looking httpdeveloperandroidcomguidetopicsdatadatastoragehtmlfilesexternal problem run application device everything ok run device memory card working would like use external public storage memory card code doesnt work doesnt save file choose directory directly environmentgetexternalstoragedirectorygetabsolutepath work wrong update code work doesnt', 'writing external sd card delphi rio written photo application stream image external source app tablet samsung galaxy tab decided use external sd card tablet storage internal storage often run space plus need remove backup image everything work fine reading jpgs come writing jpgs stream sd card permission denied already set permission work using android sdk android changed way permission work external access want invoke android system folder chooser dialog allow access app write sd card described sd card android later anyone know invoke permission selector sd card delphi rio similar apps including totalcommander android need write access external sd card tried using following code still luck need create new folder image gallery folder created always get access granted folder created sd card internal tablet removable microsd card need remove gallery full backup another device pcmac path card storage different returned using standard directory', 'getting path sd card please read whole post downvoting andor marking duplicate im working app read file within specific folder user phone either sd card there one built storage yes read_external_storage mentioned manifest im also handling permission popup api used simply use get path folder stored built storage gb want get path sd card according pretty much every result google gave environmentgetexternalstoragedirectory supposed give path sd card doesnt never ive tested following two different samsung galaxy s android one sd card folder without folder surprise phone output info according file manager app file built storage called internal storage make even le sense know difference internal external storage android get path actual sd card without hardcoding']"
39,1445,39_language_locale_emoji_country,"['language', 'locale', 'emoji', 'country', 'character', 'english', 'string', 'utf', 'rtl', 'arabic']","['change android app language without changing phone language want user select language inside app language selected want string use particular language change phone language app run set language able find way set language without changing phone language addition change reflected language set could anyone please suggest way', 'android app language english apologize simple question new android development developing android app always localized language english word one ui language matter android system language ui language english documentation read localization suggests setting resource english default language add resource supported locale would work particular situation need nonenglish language always used matter o language way setting default language androidmanifestxml something english thanks', 'change language programmatically android n api im using following code set specific language app language saved within app work perfectly api level android n work well return correct language codestring change locale set default language phone could wrong update use immediately return correct locale language app changed update also mentioned change locale restart activity using new intent finish old one change language properly even show correct language rotation close app open get default language weird update answer also httpsstackoverflowcoma']"
40,1420,40_react_native_reactnative_error,"['react', 'native', 'reactnative', 'error', 'build', 'run', 'io', 'runandroid', 'component', 'app']","['android studio react native error run im trying run react native app updated android studio try run app terminal reactnative runandroid get error run app android studio everything seems right note changed mac new one command android adb working thanks', 'react native android module conflicting andorid studio react native builder react native android native module implement android studio generates method import react native try run android asks need implemented get android studio react native respect requirement dependancy react native inside like native module scaffolded using react native documentation time seems got updated new recommended library', 'android build error react native trying run project reactnative using reactnative runandroid getting following error']"
41,1380,41_button_color_background_imagebutton,"['button', 'color', 'background', 'imagebutton', 'xml', 'click', 'change', 'layout', 'image', 'text']","['android creating button programmatically issue im trying create button programmatically android application depending many item sqlite database button problem set every button want show different content user click button im using code problem click button showing last actually dont need show testing purpose idea create different method every single button', 'change button text color pressed made button transparent would like button text color change button pressed possible using xml file', 'changing image button clicked creating game android using multiple button display image drawable folder want change button different image button clicked button code cant find anything change actual image button change color button using following code java file']"
42,1379,42_cordova_ionic_phonegap_build,"['cordova', 'ionic', 'phonegap', 'build', 'plugin', 'error', 'platform', 'command', 'file', 'project']","['failed build cordova android failed build cordova android attempt build application cordova im using java jdk jre u cordova ant bash_profile file configured way android sdk', 'cordova build ionic android project cordova android issue sure solve updated cordova latest node time try build ionic cordova project get two error try build android project ionic cordova platform add android also try run ionic cordova prepare get following error kinda confused two error sure solve building ionic project help appreciated', 'cordova build error update android cordova app built perfectly cordova update cordova build fails showing error there error line error float type allowed versioncode value nan dont know happens project root configxml file version code set reason build project androidmanifestxml set versioncodenan error shown end idea mean related error could anyone help figure oh updating cordova via npm also updated android platform project folder using cordova platform update android']"
43,1195,43_pdf_printer_print_file,"['pdf', 'printer', 'print', 'file', 'printing', 'open', 'viewer', 'document', 'mupdf', 'reader']","['create pdf file android cant find library create pdf file android one help', 'android load pdf inside webview webview code want make possible pdf file opened user click pdf link code tell put inside pdf area ive tried many different way get pdf view thanks help', 'print pdf server url pdf url show webview using code need print pdf without downloading pdf document tell print custom content rendering pdf canvas sending thus created pdf document printing information send webview pdf printing please anybody idea handle thanks advance']"
44,1186,44_draw_corner_shape_rounded,"['draw', 'corner', 'shape', 'rounded', 'circle', 'collision', 'ball', 'canvas', 'drawing', 'coordinate']","['efficiency drawing imageview rounded corner subclass use draw image rounded corner code based answer follows code image drawn properly rounded corner avoid allocation first two line want draw directly canvas originally passed new implementation look like reason code seems ignore porterduff mode instead draw image normal nonrounded corner case drawing intermediate make original code work', 'draw rounded corner shape mentioned android drawable tried code seems correct please help', 'android draw custom shape circle canvas trying draw following shape circle canvas know draw circle using center radius paint variable trying draw figure']"
45,1162,45_certificate_ssl_proxy_http,"['certificate', 'ssl', 'proxy', 'http', 'server', 'handshake', 'openssl', 'client', 'ca', 'connection']","['using ca certificate enough communicate securely sslserversocket java ssl server application able communicate client counterpart using selfsigned certificate key pair done development machine time come launch application live server obtained ssl certificate authority le export signed certificate import bouncy castle keystore android client however one thing got thinking certificate expires mean id update application time want feel like much work reading page mentioned section key ssl item number simply ca certificate enough establish connection optionally export public key certificate private key distribute ssl party interact see section export public key certificate keystore using certificate certificate authority enough others certificate certificate authority wanted know secure implication idea avoid recompiling client application time certificate renewed thanks', 'let user accept ssl certificate android android user open http website untrusted ssl certificate browser asked wheter want trust certificate implement behavior android app without accepting every certificate like described http get ssl android selfsigned server certificate app want get data website mine self signed certificate', 'android app ssl certificate android app need connect server ssl certificate im new please tell step trust certificate im using retrofit library rest client']"
46,1158,46_browser_chrome_mobile_appium,"['browser', 'chrome', 'mobile', 'appium', 'flash', 'page', 'jquery', 'cs', 'info', 'debug']","['problem adding click event handler jquery mobile android browser strange problem android browser hopefully something fundamentally wrong jquery bug tried following code firefox chrome work fine however try android browser clicking get tweet button work seems issue jquery mobile add event normal non jquery mobile object bind correctly consolelog fire tried alpha beta version jquery mobile luck script also fails android browser', 'use selenium appium automate chrome browser android trying automate android chrome browser android device webview another browser chrome browser thought possible following link httpssitesgooglecomachromiumorgchromedrivergettingstartedgettingstartedandroid automates pc chrome browser instead also tried appium nothing happens log try access info browser get chromedriverexe environment variable path whole log look like thank', 'chrome browser android emulator run automate test chrome browser android emulator api level android version test web application run test appium could find compactable version chrome browser environment chrome get crashed emulator browser launch one help getting correct chrome apk version']"
47,1025,47_fingerprint_key_encryption_encrypted,"['fingerprint', 'key', 'encryption', 'encrypted', 'encrypt', 'decrypt', 'aes', 'decryption', 'rsa', 'keystore']","['java encryption issue using pbe encryption encrypt decrypt text android application get badpaddingexception pad block corrupted message use wrong private key decrypt text question since well versed encryption java normal behavior encryption api need logic case wrong key entered know private key store anywhere storing encrypted decrypted check text thanks mihai', 'aes encryption testing android developed encryption program android using symmetric key encrypt decrypt data aes algorithm asked verify reverse engineering working correctly also one key could used decrypt data one test found called known answer test using provided encryption key test vector possible compare result aes test vector httpwwwinconteamcomsoftwaredevelopmentencryptionaestestvectors however problem provided key provided data hex format first used provided key created string work converted string hex using special method also work due hex converted hex general first method work please yell completely wrong done encryption possible prove aes algorithm working well one key could used encrypt decrypt data', 'storing aes key android device securely trying encrypt list string specified user aes key used encrypt decrypt data must saved device used decrypt data whenever user need read using keystore good option storing key guide read relate signing application exactly want application requires user input password decrypts string data using key unlocked password thanks']"
48,966,48_xml_ksoap_string_parser,"['xml', 'ksoap', 'string', 'parser', 'parse', 'parsing', 'sax', 'soap', 'stringsxml', 'tag']","['parse xml androidjava application xml file want parse xml file extract data xml tag xml file used dom parser parse xml file extracted data tag dont know extract data tag see code developed dom parser dom parser', 'parse xml android trouble parsing xml tried many thing xml like need get question want save array question option child tag want add option another array reference question id actually parse xml trying using code working', 'parse xml using sax parser im following tutorial work great would like return array string instead single string last element idea']"
49,957,49_database_server_mysql_game,"['database', 'server', 'mysql', 'game', 'sync', 'data', 'client', 'web', 'mqtt', 'connect']","['sync android database server database android app two database need sync two identical field structure field name database web server first need look another database webserver pull information sync two database additional data first database ive working android app time learned enough php mysql build web application basic crud couple question sync database android synchronisation work way change database data android change accordingly web server vice versa im working basic gui older people use android phone web application add contact reminder database android application add contact reminder manualy android application want see web application well way sync thank', 'connect mysql database android app would like connect mysql database hosted server tomcat server android app without using php way found solution use php connect directly web server', 'best way implement client server database architecture android application making android application since simple first thought could simply eliminate need java application server act middleware tried directly connecting database using jdbc driver mysql program crashing im sure android support jdbc driver mysql thinking implement application basically application writes data remote mysql database retrieves data remote mysql database connect java server program using socket method communication could implement direct connection mysql database client application']"
50,925,50_contact_sync_number_phone,"['contact', 'sync', 'number', 'phone', 'account', 'syncadapter', 'name', 'list', 'get', 'photo']","['android display specific contact information application user click button want open contact application display particular contact information minute display contact application contact displayed get display one contact according contact name number code work answer', 'many contact contact list tell many contact contact list got contact number one person one contact want account finding total number contact contact list', 'access contact number contact able access contact number contact got code internet display name contact want contact phone number']"
51,920,51_icon_svg_vector_notification,"['icon', 'svg', 'vector', 'notification', 'drawable', 'launcher', 'folder', 'image', 'png', 'badge']","['view notification icon put programmatically app icon android marshmallow view notification icon put programmatically view app icon android marshmallow android icon appear normally android appear app icon one know problem', 'android studio app icon ive updated post here proyect manifest mipmap created new image asset selected launcher icon adaptative legacy icon also open see icon want icon launcher icon work fine launcher icon problem im want update icon displayed im going select another app problem', 'fcm notification icon used using could successfully send push notification app want use custom notification icon always show white icon running documentation say icon optional string indicates notification icon set value myicon drawable resource myicon im sure exactly mean generated icon icon white text transparent background sample screenshot pic icon added re folder edited androidmanifest added tried running project device new app icon ic_stat_set used app launcher console send notification receive icon set also tried sending api received notification icon set update drawable icon file httpsdrivegooglecomopenidbfilebq_boerumznuqyowxm put something custom data file console icon missing thanks']"
52,894,52_chart_graph_mpandroidchart_achartengine,"['chart', 'graph', 'mpandroidchart', 'achartengine', 'axis', 'label', 'bar', 'value', 'xaxis', 'line']","['combination two bar chart two line chart using achartengine android code combine two bar two line chart due code got type graph want type graph avoid overlapping two bar chart', 'set label x axis dual line chart using achartengine android hi new chart application created dual line chart using achartengine android application cant set label yaxis chart got chart like anybody help thanks advance', 'mpandroidchart x axis label aligned bar graph im creating combined chart line chart group bar chart using mpandroidchart v found label xaxis aligned properly bar group bar chart screenshot code using plotting graph']"
53,872,53_link_url_browser_chrome,"['link', 'url', 'browser', 'chrome', 'open', 'deep', 'app', 'intent', 'uri', 'dynamic']","['open browser intent link also redirects deeplinking button app would like let user open browser done starting intent using uri data simply offer browser open uri problem uris using also connected via deep linking application user already chose open link app getting infinite cycle way force user use browser device installed trying start application directly option maybe way intent request remove app possible option case', 'facebook inapp browser deep link problem android io building redirect service facebook inapp browser main objective user click link app installed rd party open deep link app right away b user click link app installed load web page inside facebook inapp browser problem android device immediately redirect user link intentintentpackagecomappschemecomappwebdeeplink_contentsbrowser_fallback_urlhttpsgooglecomend play store appears right click correct behavior hit back android control button redirects back facebook inapp browser already closed literally way open link without app installed chrome browser mobile link redirects fallback_url right away need actually idea fixed io device way work always prompt two question one one want leave facebook app want open link app case app installed still asking want leave facebook app first nothing happens least work somehow live comparison android looking solution facebook app link tried add metatags probably mostly app developer didnt help please help desperate searching solution', 'android launch custom android application android browser ive link like application want something user open link browser application run open data id see send id end url want get id show data app ive added code manifest enter address browser nothing happens could help']"
54,837,54_ad_admob_banner_interstitial,"['ad', 'admob', 'banner', 'interstitial', 'adview', 'show', 'rewarded', 'test', 'app', 'mediation']","['admob banner interstitial ad loading launcher activity first time load app banner ad full screen interstitial ad load every time hit activity ad load fine lead believe fill issue also using mediation standard admob network code use load banner ad log cat report back following error anything make ad load close time especially full screen ad', 'admob native ad shown trying implement native ad admob got sample code github tried implement code demo code work fine native ad show properly created admob account obtained ad unit id previous demo code native ad work id got error error code although created ad unit id work fine banner type ad native ad still beta supposed common developer', 'admob show test ad real ad im using admob showing android ad test ad working fine real ad shown also ive issue real interstitial ad work fine real banner ad showing java code layout file']"
55,751,55_font_typeface_custom_size,"['font', 'typeface', 'custom', 'size', 'textview', 'roboto', 'text', 'asset', 'set', 'fontfamily']","['custom font used entire app different way set font android need set font combination thereby research option override set font use class layout xml add font apptheme stylesxml prefer last option obviously position best way go since use font entire app problem folder added font want use cant use style add font typeface possible', 'font change webview code font change display', 'android studio custom font stylesxml im unable set custom font style file still see default font app change one default one change also work set custom font programmatically make work custom font set also im using support library font family use file test purpose']"
56,729,56_realm_object_realmobject_realmlist,"['realm', 'object', 'realmobject', 'realmlist', 'query', 'thread', 'instance', 'migration', 'database', 'model']","['realmerror realm memory size using realm db android app like questionnaire application user navigates inside app lot use app go back forth continuously get following error know main cause closing realm instance ive already checked multiple time positive close every instance open app many activity fragment get realm instance close also background network job run upload data get realm instance job close realm instance theyve finished running cancel get realm instance thru injection via dagger configuration also provided dagger module specific questionnaire consists many question fragment displayed viewpager fragment get injected realm many interaction given question fragment write data db async blocking fragment also query database get updated data data also copied realm via given time happening upload job likely running reading data db uploading server upload job finish writes db think fragmentactivities holding realm reference ui thread given moment reference thread background job moreover compact realm db via every app launch perhaps separate problem doesnt seem job consistently ive tried describe realm usage descriptively without going detail problem user excessively us app going back forth activitiesfragments realm injection db read query uploading data realm injection db readwrite query get posted memory error also using leak canary hasnt detected leak sure anyway using realm way supposed used close realm instance instead one realm instance activity fragmetns case use instance kind change make app perhaps app architecture solve problem appreciate help trying solve problem edit im sharing realm openclose logic background thread job share realm usage following realm injected lazily via realm object reference held field using android priority job queue job added job run realm retreived every possible ending method call see background thread close realm instance properly far im concerned', 'android realm accessing realm object service realm object created activity need able access object within service created however im getting error creating realm object within service javalangillegalstateexception realm access incorrect thread realm object accessed thread created understand mean realm object created activity access background thread however im finding easy way around creating custom handler thread seems like clunky way missing something really better way able access realm object within different thread update dug little deeper figure intentservice onhandleintent method run separate thread method within class therefore create class level realm instance able interact inside outside onhandleintent method causing thread exception aside creating separate instance realm method need access object retrieving think ilya tretyakovs answer best copy object realm constructor work throughout life service method need write back realm object need instantiate realm instance within method', 'realm android decryption issue try access realm db installing app im getting following error caused javalangillegalargumentexception wrong key used decrypt realm method return realm instance getting error following line help solve issue using realm version']"
